service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,1,1,20211212,20221210
2,1,1,1,1,1,1,1,20211212,20221210
3,1,1,1,1,1,1,1,20211212,20221210
4,1,1,1,1,1,0,1,20211212,20221210
5,1,1,1,1,1,0,0,20211212,20221210
6,1,1,1,1,1,0,0,20211212,20221210
7,1,1,1,1,1,1,1,20211212,20221210
8,1,1,1,1,1,0,0,20211212,20221210
9,1,1,1,1,1,0,0,20211212,20221210
10,1,1,1,1,1,1,0,20211212,20221210
11,1,1,1,1,1,0,0,20211212,20221210
12,1,1,1,1,1,0,1,20211212,20221210
13,1,1,1,1,1,1,1,20211212,20221210
14,1,1,1,1,1,1,1,20211212,20221210
15,1,1,1,1,1,1,1,20211212,20221210
16,1,1,1,1,1,0,0,20211212,20221210
17,1,1,1,1,1,1,1,20211212,20221210
18,1,1,1,1,1,0,0,20211212,20221210
19,1,1,1,1,1,1,1,20211212,20221210
20,0,1,1,1,1,0,0,20211212,20221210
21,1,1,1,1,1,1,1,20211212,20221210
22,1,1,1,1,1,1,1,20211212,20221210
23,1,1,1,1,1,1,1,20211212,20221210
24,1,1,1,1,0,0,1,20211212,20221210
25,1,1,1,1,1,1,1,20211212,20221210
26,1,1,1,1,1,1,1,20211212,20221210
27,1,1,1,1,1,1,1,20211212,20221210
28,1,1,1,1,1,0,1,20211212,20221210
29,1,1,1,1,1,1,1,20211212,20221210
30,1,1,1,1,1,1,1,20211212,20221210
31,1,1,1,1,1,1,1,20211212,20221210
32,1,1,1,1,1,1,1,20211212,20221210
33,1,1,1,1,1,1,1,20211212,20221210
34,1,1,1,1,1,1,1,20211212,20221210
35,1,1,1,1,1,1,1,20211212,20221210
36,1,1,1,1,1,0,0,20211212,20221210
37,1,1,1,1,1,1,1,20211212,20221210
38,1,1,1,1,1,1,1,20211212,20221210
39,1,1,1,1,1,0,0,20211212,20221210
40,0,0,0,0,0,1,0,20211212,20221210
41,1,1,1,1,1,1,1,20211212,20221210
42,1,1,1,1,1,1,0,20211212,20221210
43,1,1,1,1,1,0,1,20211212,20221210
44,1,1,1,1,1,1,1,20211212,20221210
45,1,1,1,1,1,1,1,20211212,20221210
46,0,0,0,0,1,1,1,20211212,20221210
47,1,1,1,1,1,1,1,20211212,20221210
48,1,1,1,1,1,1,1,20211212,20221210
49,1,1,1,1,1,1,1,20211212,20221210
50,1,1,1,1,1,1,1,20211212,20221210
51,1,1,1,1,1,0,0,20211212,20221210
52,0,0,0,0,0,0,0,20211212,20221210
53,1,1,1,1,1,1,1,20211212,20221210
54,0,0,0,0,0,1,1,20211212,20221210
55,0,1,0,1,0,0,1,20211212,20221210
56,0,1,0,1,0,1,1,20211212,20221210
57,1,1,1,1,1,1,1,20211212,20221210
58,0,0,0,0,0,0,0,20211212,20221210
59,1,1,1,1,1,1,1,20211212,20221210
60,0,0,0,0,0,0,1,20211212,20221210
61,1,1,1,1,1,0,0,20211212,20221210
62,1,1,1,1,1,1,1,20211212,20221210
63,1,1,1,1,1,0,0,20211212,20221210
64,1,1,1,1,1,1,1,20211212,20221210
65,1,1,1,1,1,1,1,20211212,20221210
66,1,1,1,1,1,0,0,20211212,20221210
67,1,1,1,1,1,1,1,20211212,20221210
68,1,1,1,1,1,1,1,20211212,20221210
69,1,1,1,1,1,0,0,20211212,20221210
70,1,1,1,1,1,1,1,20211212,20221210
71,1,1,1,1,1,0,0,20211212,20221210
72,1,1,1,1,1,0,0,20211212,20221210
73,1,1,1,1,1,0,0,20211212,20221210
74,1,1,1,1,1,1,1,20211212,20221210
75,1,1,1,1,1,1,1,20211212,20221210
76,1,1,1,1,1,1,1,20211212,20221210
77,1,1,1,1,1,0,0,20211212,20221210
78,0,0,0,0,0,0,1,20211212,20221210
79,1,1,1,1,1,1,1,20211212,20221210
80,1,1,1,1,1,1,1,20211212,20221210
81,1,1,1,1,1,1,1,20211212,20221210
82,1,1,1,1,1,0,0,20211212,20221210
83,1,1,1,1,1,1,1,20211212,20221210
84,0,0,0,0,0,1,1,20211212,20221210
85,1,1,1,1,1,1,1,20211212,20221210
86,0,0,0,0,0,1,0,20211212,20221210
87,1,1,1,1,1,1,1,20211212,20221210
88,1,1,1,1,1,1,1,20211212,20221210
89,1,1,1,1,1,0,0,20211212,20221210
90,1,1,1,1,1,1,0,20211212,20221210
91,1,1,1,1,0,0,0,20211212,20221210
92,1,1,1,1,1,0,0,20211212,20221210
93,1,1,1,1,1,1,1,20211212,20221210
94,1,1,1,1,1,0,1,20211212,20221210
95,1,1,1,1,1,1,0,20211212,20221210
96,1,1,1,1,1,0,0,20211212,20221210
97,1,1,1,1,1,1,1,20211212,20221210
98,1,1,1,1,1,0,0,20211212,20221210
99,1,1,1,1,1,1,1,20211212,20221210
100,1,1,1,1,1,1,1,20211212,20221210
101,1,1,1,1,1,0,0,20211212,20221210
102,1,1,1,1,1,1,1,20211212,20221210
103,1,1,1,1,1,1,1,20211212,20221210
104,1,1,1,1,1,1,0,20211212,20221210
105,1,1,1,1,1,1,1,20211212,20221210
106,1,0,0,0,0,0,0,20211212,20221210
107,1,1,1,1,1,0,0,20211212,20221210
108,1,1,1,1,1,0,0,20211212,20221210
109,1,1,1,1,1,0,0,20211212,20221210
110,1,1,1,1,1,1,1,20211212,20221210
111,1,1,1,1,1,1,0,20211212,20221210
112,1,1,1,1,1,0,0,20211212,20221210
113,1,1,1,1,1,1,1,20211212,20221210
114,1,1,1,1,1,0,0,20211212,20221210
115,1,1,1,1,1,1,1,20211212,20221210
116,1,1,1,1,1,0,0,20211212,20221210
117,1,0,1,0,1,0,0,20211212,20221210
118,1,1,1,1,1,0,0,20211212,20221210
119,0,1,0,1,0,1,0,20211212,20221210
120,1,1,1,1,1,1,1,20211212,20221210
121,1,1,1,1,1,1,1,20211212,20221210
122,0,0,0,0,0,0,1,20211212,20221210
123,1,1,1,1,1,1,1,20211212,20221210
124,1,1,1,1,1,1,1,20211212,20221210
125,1,1,1,1,1,0,0,20211212,20221210
126,1,1,1,1,1,1,1,20211212,20221210
127,1,1,1,1,1,0,0,20211212,20221210
128,1,1,1,1,1,1,1,20211212,20221210
129,1,0,0,0,0,1,1,20211212,20221210
130,1,1,1,1,1,0,0,20211212,20221210
131,1,1,1,1,1,0,1,20211212,20221210
132,1,1,1,1,1,0,0,20211212,20221210
133,1,1,1,1,1,1,1,20211212,20221210
134,1,1,1,1,1,1,1,20211212,20221210
135,1,1,1,1,1,1,1,20211212,20221210
136,1,1,1,1,1,1,1,20211212,20221210
137,1,1,1,1,1,0,0,20211212,20221210
138,1,1,1,1,1,1,1,20211212,20221210
139,0,0,0,0,0,0,0,20211212,20221210
140,1,1,1,1,1,1,1,20211212,20221210
141,1,1,1,1,1,1,1,20211212,20221210
142,1,1,1,1,1,1,1,20211212,20221210
143,1,1,1,1,1,1,1,20211212,20221210
144,1,1,1,1,1,1,1,20211212,20221210
145,1,1,1,1,1,0,0,20211212,20221210
146,1,1,1,1,1,0,0,20211212,20221210
147,1,1,1,1,1,1,1,20211212,20221210
148,1,1,1,1,1,0,0,20211212,20221210
149,1,1,1,1,1,0,0,20211212,20221210
150,0,0,0,0,0,0,0,20211212,20221210
151,1,1,1,1,1,0,0,20211212,20221210
152,1,1,1,1,1,0,0,20211212,20221210
153,1,1,1,1,1,0,0,20211212,20221210
154,1,1,1,1,1,1,1,20211212,20221210
155,0,0,0,0,0,0,0,20211212,20221210
156,1,1,1,1,1,1,1,20211212,20221210
157,1,1,1,1,1,1,1,20211212,20221210
158,1,1,1,1,1,1,1,20211212,20221210
159,0,0,0,0,0,1,1,20211212,20221210
160,1,1,1,1,1,0,0,20211212,20221210
161,1,1,1,1,1,1,1,20211212,20221210
162,1,1,1,1,1,1,1,20211212,20221210
163,1,1,1,1,1,1,1,20211212,20221210
164,1,1,1,1,1,1,1,20211212,20221210
165,1,1,1,1,1,1,1,20211212,20221210
166,1,1,1,1,1,1,1,20211212,20221210
167,1,1,1,1,1,1,1,20211212,20221210
168,1,1,1,1,1,1,1,20211212,20221210
169,1,1,1,1,1,1,1,20211212,20221210
170,1,1,1,1,1,1,1,20211212,20221210
171,1,1,1,1,1,1,1,20211212,20221210
172,1,1,1,1,1,1,1,20211212,20221210
173,1,1,1,1,1,1,1,20211212,20221210
174,1,1,1,1,1,1,1,20211212,20221210
175,0,0,0,0,0,1,0,20211212,20221210
176,1,1,1,1,1,1,1,20211212,20221210
177,1,1,1,1,1,1,1,20211212,20221210
178,1,1,1,1,1,1,1,20211212,20221210
179,1,1,1,1,1,1,1,20211212,20221210
180,0,1,1,1,1,0,1,20211212,20221210
181,1,1,1,1,1,1,1,20211212,20221210
182,0,0,0,0,0,1,0,20211212,20221210
183,0,1,1,1,1,0,1,20211212,20221210
184,0,0,0,0,0,1,0,20211212,20221210
185,1,1,1,1,1,1,1,20211212,20221210

