route_id,agency_id,route_short_name,route_long_name,route_type
1,6100826,R: Târgu Jiu - Turceni,R: Târgu Jiu - Amaradia - Drăguţeşti h. - Cârbeşti Hm. - Vârţ h. - Rogojelu - Km. 49+800 h. - Rovinari Hm. - Rovinari Sud h. - Roşia Jiu h. - Vlăduleni Gorj h. - Bâlteni h. - Peşteana Jiu h. - Plopşoru - Sărdăneşti h. - Gârbovu h. - Turceni,2
2,6100826,R: Piteşti - Piatra Olt,R: Piteşti - Bradu de Sus - Pârvu Hm. - Pârvu h. - Suseni h. - Costeşti - Fâlfani Hm. - Stolnici Hm. - Hârseşti Hm. - Corbu - Sineşti Hm. - Potcoava - Bâlteni Olt Hm. - Recea Hm. - Slatina - Milcov Hm. - Slătioara Hm. - Criva h. - Piatra Olt,2
3,6100826,R: Vatra Dornei - Bistriţa Nord,R: Vatra Dornei - Vatra Dornei Băi hc. - Roşu Hm. - Dorna Candrenilor h. - Floreni - Coşna Hm. - Grădiniţa Hm. - Larion Hm. - Silhoasa Hm. - Lunca Ilvei - Ilva Mare Hm. - Măgura Ilvei Hm. - Poiana Ilvei - Leşu Ilvei Hm. - Strâmba h. - Ilva Mică - Podereia Feldrului h. - Feldru Hm. - Nepos h. - Rebrişoara Hm. - Năsăud - Năsăud h. - Salva - Mititei h. - Nimigea Hm. - Nimigea h. - Mogoşeni Hm. - Cociu h. - Beclean pe Someş - Şintereag Hm. - Caila hc. - Sfântu h. - Măgheruş Şieu Hm. - Arcalia hc. - Sărăţel - Sărata h. - Viişoara h. - Bistriţa Nord,2
4,6100826,R: Bistriţa Nord - Vatra Dornei,R: Bistriţa Nord - Viişoara h. - Sărata h. - Sărăţel - Arcalia hc. - Măgheruş Şieu Hm. - Sfântu h. - Caila hc. - Şintereag Hm. - Beclean pe Someş - Cociu h. - Mogoşeni Hm. - Nimigea h. - Nimigea Hm. - Mititei h. - Salva - Năsăud h. - Năsăud - Rebrişoara Hm. - Nepos h. - Feldru Hm. - Podereia Feldrului h. - Ilva Mică - Strâmba h. - Leşu Ilvei Hm. - Poiana Ilvei - Măgura Ilvei Hm. - Ilva Mare Hm. - Lunca Ilvei - Silhoasa Hm. - Larion Hm. - Grădiniţa Hm. - Coşna Hm. - Floreni - Dorna Candrenilor h. - Roşu Hm. - Vatra Dornei Băi hc. - Vatra Dornei,2
5,6100826,R: Valea lui Mihai - Satu Mare,R: Valea lui Mihai - Curtuiuşeni h. - Resighea h. - Sanislău Hm. - Marna h. - Carei - Domăneşti h. - Moftin h. - Gen. Gh. Avramescu Hm. - Sătmărel h. - Satu Mare Sud - Satu Mare,2
6,6100826,R: Oradea - Halmeu,R: Oradea - Diosig Hm. - Săcuieni Bihor - Şilindru Hm. - Simion h. - Valea lui Mihai - Curtuiuşeni h. - Resighea h. - Sanislău Hm. - Marna h. - Carei - Domăneşti h. - Moftin h. - Gen. Gh. Avramescu Hm. - Sătmărel h. - Satu Mare Sud - Satu Mare - Ram. Botiz h. - Micula Hm. - Porumbeşti Hm. - Halmeu,2
7,6100826,R: Jibou - Sărmăşag,R: Jibou - Cuceu Sălaj h. - Poptelec h. - Mirşid Hm. - Zalău Nord - Guruslău h. - Borla Hm. - Bocşa Sălaj h. - Câmpia Sălaj h. - Sărmăşag,2
8,6100826,R: Sărmăşag - Jibou,R: Sărmăşag - Câmpia Sălaj h. - Bocşa Sălaj h. - Borla Hm. - Guruslău h. - Zalău Nord - Mirşid Hm. - Poptelec h. - Cuceu Sălaj h. - Jibou,2
9,6100826,R: Cluj Napoca - Dej Călători,R: Cluj Napoca - Clujana h. - Cluj Napoca Est - Dezmir h. - Apahida - Apahida h. - Jucu Hm. - Jucu de Jos h. - Răscruci h. - Bonţida Hm. - Fundătura h. - Iclod Hm. - Livada Someş h. - Gherla - Nima h. - Dej Călători,2
10,6100826,R: Mărăşeşti - Galaţi,R: Mărăşeşti - G-ral. E. Grigorescu Hm. - Cosmeşti Hm. - Tecuci - Malul Alb h. - Barcea - Umbrăreşti h. - Iveşti Hm. - Buceşti h. - Lieşti Hm. - Şerbăneşti h. - Hanu Conachi Hm. - Tudor Vladimirescu h. - Vameş h. - Piscu h. - Independenţa Hm. - Vasile Alecsandri h. - Braniştea h. - Şendreni Hm. - Barboşi - Fileşti Hm. - Galaţi,2
11,6100826,R: Piteşti - Piatra Olt,R: Piteşti - Bradu de Sus - Pârvu Hm. - Pârvu h. - Costeşti - Fâlfani Hm. - Stolnici Hm. - Hârseşti Hm. - Corbu - Sineşti Hm. - Potcoava - Bâlteni Olt Hm. - Recea Hm. - Slatina - Criva h. - Piatra Olt,2
