route_id,service_id,trip_id,trip_short_name
1,1,2872,R
2,2,9473,R
3,3,4205,R
4,3,4207,R
5,3,4335,R
6,4,4331,R
7,5,4074,R
8,6,4361,R
9,7,4308,R
10,3,7569,R
11,3,9477,R
12,3,9476,R
13,3,36313,R
13,3,36315,R
14,8,4321,R
15,9,4322,R
16,10,4454,R
17,3,36326,R
18,11,4340,R
19,3,2611,R
20,3,5311,R
21,3,5213,R
22,12,4083,R
23,13,3620,R
23,14,3628,R
24,3,3629,R
25,15,3627,R
26,3,3635,R
27,14,3622,R
28,14,3641,R
29,3,9576,R
30,3,9552,R
31,11,4044,R
32,11,4371,R
33,11,4374,R
31,11,4046,R
34,3,4532,R
35,16,2421,R
36,14,3633,R
15,17,4318,R
37,3,6444,R
38,3,9370,R
39,1,1655,IR
40,3,9343,R
41,3,2569,R
42,3,4362,R
29,3,9578,R
43,3,1793,IR
44,3,6501,R
45,10,6463,R-E
46,18,4544,R
47,3,7957,R-E
48,19,3111,R
49,3,7037,R
50,3,8151,R
51,3,8203,R
40,18,9345,R
52,14,2386,R
53,20,2094,R
54,21,8804,R
55,3,6413,R
56,3,3074,R
57,3,1680,IR
58,22,2083,R
59,3,9010,R
60,3,37656,R
61,3,2070,R
62,3,3126,R
63,3,4452,R
64,1,2382,R
65,3,9553,R
66,18,5013,R
67,23,9666,R
68,1,1660,IR
69,3,7951,R-E
70,3,8588,R
46,3,4546,R
71,3,2203,R
72,24,4525,R
62,25,3122,R
73,3,3030,R
74,17,4655,R
75,3,4334,R
76,14,3623,R
77,3,5462,R
78,3,7948,R-E
49,3,7035,R
79,14,9166,R
80,3,5201,R
78,3,7952,R-E
81,3,1832,IR
82,18,9346,R
83,3,5021,R
84,26,8391,R
54,27,8364,R
85,3,3112,R
86,28,4650,R
87,1,1661,IR
88,3,9358,R
89,3,8397,R
90,3,2303,R
91,3,9305,R
92,3,7363,R
93,20,1533,IR
94,3,473,IR-N
95,29,1095,IR
96,3,5032,R
97,3,1882,IR
98,18,9301,R
99,3,7960,R-E
100,3,5523,R
101,14,9167,R
102,3,4511,R
103,3,5723,R
104,30,4705,R
105,17,4652,R
106,3,5510,R
107,18,5016,R
79,31,9170,R
108,3,7901,R-E
109,3,1541,IR
43,3,1781,IR
46,3,4550,R
110,3,1830,IR
111,32,2873,R
112,10,5741,R-E
113,33,2022,R
114,3,5303,R
115,3,9005,R
116,12,4580,R
117,34,8806,R
118,10,9135,R
119,35,1968,IR
120,18,9485,R
121,3,6412,R
122,3,9613,R
123,3,9351,R
124,3,5207,R
18,36,4342,R
125,12,9383,R
126,3,5605,R
127,37,9610,R
128,3,9107,R
129,3,4547,R
31,3,4042,R
130,38,9580,R
131,10,5740,R-E
132,3,2620,R
133,3,5628,R
134,12,4082,R
135,3,2627,R
90,39,2301,R
136,3,5720,R
137,3,1794,IR
138,3,9573,R
139,3,6812,R
140,3,1691,IR
141,18,5711,R
142,3,9022,R
143,3,6456,R
144,3,3089,R
145,1,1656,IR
146,3,5524,R
147,1,1521,IR
148,3,3027,R
70,3,8584,R
149,3,2502,R
150,3,8444,R
151,3,9438,R
152,3,4520,R
153,3,9611,R
154,12,2515,R
155,40,4026,R-E
156,21,8036,R
157,34,1972,IR
158,41,2009,R-E
159,18,9382,R
160,3,3072,R
161,11,4045,R
162,3,9122,R
163,13,2700,R
164,34,8656,R
133,3,5626,R
106,3,5504,R
165,42,2854,R
161,3,4043,R
166,11,4314,R
167,26,1821,IR-N
168,31,1992,IR-N
133,3,5624,R
169,43,9530,R
170,3,2567,R
171,1,1736,IR
172,14,2708,R
173,44,3076,R
174,3,5467,R
175,10,9405,R
176,10,9064,R
129,3,4543,R
43,3,1791,IR
177,45,8082,R-E
178,3,5058,R
179,3,9024,R
180,41,2088,R
71,3,2213,R
181,37,2042,R
182,12,3514,R
183,3,3042,R
77,3,5466,R
184,3,687,IR
185,46,1530,IR
186,3,9575,R
187,10,9347,R
188,3,7038,R
189,47,8360,R
190,3,4104,R
68,3,1662,IR
191,3,9103,R
192,18,5701,R
193,3,4501,R
69,48,7949,R-E
2,1,9475,R
82,18,9344,R
194,3,8083,R-E
195,10,9505,R
196,3,3041,R
197,3,4455,R
198,3,7032,R
199,3,5433,R
200,18,3533,R
201,49,1941,IR-N
202,12,2065,R
203,3,375,IR
152,18,4516,R
204,3,9038,R-E
205,3,5011,R
156,26,8034,R
206,45,8654,R
207,3,4531,R
208,11,4301,R
209,3,9388,R
210,50,1594,IR
122,14,9617,R
211,3,5423,R
212,14,2704,R
213,3,5435,R
214,18,9439,R
215,3,8014,R
216,51,9060,R
217,52,9487,R
218,10,4151,R
219,50,1635,IR
220,1,1665,IR
221,3,9016,R-E
222,18,3084,R
78,3,7954,R-E
223,3,7371,R
224,3,9006,R
174,3,5461,R
225,53,4365,R
226,14,9504,R
227,54,4517,R
228,3,5568,R
229,3,367,IR
31,3,4048,R
230,3,9163,R
231,3,4106,R
232,3,9572,R
233,1,1657,IR
234,34,1984,IR
235,3,2064,R
236,3,4537,R
89,26,8393,R
237,55,1061,R
238,54,4514,R
57,3,1588,IR
239,3,2048,R
240,26,1862,IR
241,3,370,IR
242,3,9000,R-E
243,26,8384,R
244,3,2183,R
245,3,2413,R
246,3,5431,R
247,3,4020,R-E
248,1,1645,IR
249,3,5219,R
250,56,1557,IR
251,3,4302,R
252,3,9013,R-E
253,3,5053,R
208,3,4303,R
254,3,8653,R
151,3,9434,R
255,57,4110,R
256,58,9026,R
257,59,2606,R
258,14,9557,R
116,12,4582,R
259,3,1632,IR
260,18,7031,R
236,3,4539,R
14,17,4317,R
38,18,9364,R
261,3,4507,R
262,34,1970,IR
263,1,1664,IR
264,34,8598,R
265,3,5734,R
266,18,9486,R
267,18,3532,R
268,3,6822,R
269,3,9619,R
270,12,4101,R
271,3,2603,R
272,3,2046,R
273,3,2101,R
165,60,2860,R
274,12,1551,IR
275,3,7568,R
79,3,9164,R
245,10,2417,R
78,3,7930,R-E
276,3,5071,R
277,3,9106,R
278,10,9139,R
279,21,1920,IR-N
137,3,1790,IR
280,61,2437,R
281,3,3082,R
164,3,8650,R
282,3,1570,IR
283,3,2095,R
284,18,5712,R
285,3,7902,R-E
286,34,1914,IR
287,3,4103,R
288,62,8377,R
31,17,4050,R
289,3,5612,R
290,3,7572,R
291,12,6314,R
69,3,7947,R-E
174,3,5463,R
78,3,7924,R-E
292,3,1750,IR
293,3,4506,R
294,11,1595,IR
295,10,2076,R
78,3,7942,R-E
276,3,5073,R
296,3,5566,R
71,3,2209,R
104,63,4305,R
297,10,4486,R
298,55,1064,R
78,3,7956,R-E
299,64,8004,R
300,3,9373,R
166,3,4316,R
108,3,7905,R-E
301,1,1624,IR
302,14,2707,R
12,65,9472,R
303,3,686,IR
304,3,9608,R
305,1,1831,IR
60,3,37630,R
306,3,5471,R
82,18,9352,R
307,3,1667,IR-N
308,24,4528,R
309,23,3642,R
310,3,3543,R
311,3,5051,R
312,3,6451,R
313,10,4330,R
105,11,4654,R
314,18,7362,R
315,3,6502,R
316,66,1552,IR
77,3,5460,R
43,18,1783,IR
317,3,3031,R
318,67,3128,R
78,3,7938,R-E
319,10,2075,R
261,18,4503,R
320,3,2415,R
77,3,5464,R
69,3,7955,R-E
300,18,9371,R
321,3,9137,R
92,3,7361,R
161,3,4047,R
74,11,4653,R
322,18,8121,R
323,3,9669,R
324,3,2624,R
325,3,1597,IR
326,12,4704,R
327,68,2594,R
328,45,1583,IR
329,69,9389,R
330,3,5560,R
46,3,4540,R
331,14,9501,R
332,3,1681,IR
333,1,1824,IR
334,3,8592,R
335,3,5412,R
307,3,1663,IR
336,21,1930,IR-N
236,18,4533,R
337,3,3127,R
338,3,1884,IR
339,10,9066,R
340,3,4453,R
341,3,4010,R-E
342,3,5442,R
343,3,1584,IR
344,70,8001,R
345,71,5402,R
346,3,37647,R
347,26,8031,R
348,3,5421,R
349,18,5211,R
178,18,5056,R
350,41,2007,R-E
351,3,146,IR
352,3,3085,R
353,3,2036,R
354,3,405,IR-N
355,1,3023,R
257,3,2604,R
356,3,9111,R
78,3,7926,R-E
357,41,3115,R
358,3,3024,R
359,3,2501,R
360,3,9123,R
361,3,6504,R
78,3,7916,R-E
362,1,2857,R
363,3,1765,IR-N
364,3,2038,R
69,3,7921,R-E
365,3,6811,R
366,3,9694,R
237,3,1063,R
367,72,2063,R
106,3,5502,R
368,1,2383,R
369,73,4145,R
370,3,7566,R
371,3,2621,R
372,3,8443,R
373,3,4022,R-E
374,3,4530,R
375,3,3547,R
55,3,6415,R
376,14,2709,R
377,3,5217,R
378,3,9021,R
379,37,2027,R
228,3,5572,R
380,3,8153,R
273,3,2103,R
137,18,1786,IR
381,3,3086,R
382,3,3125,R
383,12,2577,R
384,3,9160,R
385,3,9003,R
288,74,8385,R
386,3,1890,IR
387,18,5031,R
288,75,8387,R
388,14,2381,R
389,35,6462,R-E
390,76,7364,R
391,32,1859,IR
69,3,7941,R-E
392,1,9533,R
169,10,9532,R
393,54,5305,R
394,14,9192,R
395,3,5574,R
396,3,8202,R
397,34,1982,IR
57,77,1586,IR
398,78,2086,R
194,3,8085,R-E
96,3,5034,R
399,3,348,IR
400,18,5210,R
137,3,1782,IR
16,53,4076,R
299,79,8024,R
401,18,9018,R-E
402,3,4064,R
403,80,8011,R
404,3,9623,R
405,3,366,IR
406,3,4403,R
174,3,5465,R
407,12,9134,R
408,49,4014,R-E
409,3,5583,R
44,3,6503,R
410,3,9014,R-E
377,3,5215,R
411,81,8801,R
412,3,1574,IR
413,3,3075,R
414,11,4338,R
415,3,5606,R
70,3,8586,R
416,18,2871,R
417,3,404,IR-N
